2024-07-12 01:31:12 | INFO | model_worker | args: Namespace(checkpoint_path=None, controller_address='http://localhost:10000', host='localhost', keep_aspect_ratio=False, limit_model_concurrency=200, lm_path='luodian/llama-7b-hf', load_8bit=False, load_pt=False, model_name='dolphins', no_register=False, num_gpus=1, port=40000, stream_interval=2, use_lora=True, worker_address='http://localhost:40000')
2024-07-12 01:31:12 | INFO | model_worker | Loading the model dolphins on worker 05bca1 ...
2024-07-12 01:31:21 | ERROR | stderr | /root/miniconda3/lib/python3.8/site-packages/huggingface_hub/file_download.py:1132: FutureWarning: `resume_download` is deprecated and will be removed in version 1.0.0. Downloads always resume when possible. If you want to force a new download, use `force_download=True`.
2024-07-12 01:31:21 | ERROR | stderr |   warnings.warn(
2024-07-12 01:31:22 | ERROR | transformers.tokenization_utils_base | Using pad_token, but it is not set yet.
2024-07-12 01:31:22 | ERROR | transformers.tokenization_utils_base | Using pad_token, but it is not set yet.
2024-07-12 01:31:22 | WARNING | transformers.modeling_utils | The argument `trust_remote_code` is to be used with Auto classes. It has no effect here and is ignored.
2024-07-12 01:31:22 | WARNING | transformers.modeling_utils | The argument `trust_remote_code` is to be used with Auto classes. It has no effect here and is ignored.
2024-07-12 01:31:24 | ERROR | stderr | /root/autodl-tmp/test/Dolphins/mllm/src/mpt_lora_patch/attention.py:148: UserWarning: Using `attn_impl: torch`. If your model does not use `alibi` or `prefix_lm` we recommend using `attn_impl: flash` otherwise we recommend using `attn_impl: triton`.
2024-07-12 01:31:24 | ERROR | stderr |   warnings.warn('Using `attn_impl: torch`. If your model does not use `alibi` or ' + '`prefix_lm` we recommend using `attn_impl: flash` otherwise ' + 'we recommend using `attn_impl: triton`.')
2024-07-12 01:32:39 | ERROR | stderr | Loading checkpoint shards:   0%|                                   | 0/3 [00:00<?, ?it/s]
2024-07-12 01:32:48 | ERROR | stderr | Loading checkpoint shards:  33%|█████████                  | 1/3 [00:08<00:17,  8.54s/it]
